"Population in multidimensional poverty, headcount (%)"
"HDI Rank","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"171"," Afghanistan","","","","","","","58.8","","",""
"85"," Albania","","","","","1.2","","","","",""
"40"," Argentina","3.7","","","","","","","","",""
"85"," Armenia","","","","","","0.6","","","",""
"78"," Azerbaijan","","2.4","","","","","","","",""
"142"," Bangladesh","","","59.5","","","","49.5","","",""
"57"," Barbados","","","","","","","","1.2","",""
"50"," Belarus","0.4","","","","","","","","",""
"101"," Belize","","6.9","","","","","7.4","","",""
"166"," Benin","","69.8","","","","","","64.2","",""
"132"," Bhutan","","","","","","29.4","","","",""
"119"," Bolivia (Plurinational State of)","","","","20.6","","","","","",""
"85"," Bosnia and Herzegovina","","3.5","","","","","","1.7","",""
"75"," Brazil","","4.0","","","","","","3.1","2.9",""
"183"," Burkina Faso","","85.2","","","","82.8","","","",""
"184"," Burundi","87.9","","","","","81.8","","","",""
"143"," Cambodia","58.0","","","","","46.8","","","",""
"153"," Cameroon","","51.8","","","","","48.2","","",""
"187"," Central African Republic","","80.5","","","","76.3","","","",""
"185"," Chad","","","","","","86.9","","","",""
"90"," China","","","","","6.0","","","5.2","",""
"97"," Colombia","","","","","","7.6","","","",""
"159"," Comoros","","","","","","","","34.3","",""
"136"," Congo","","","","","32.7","","","43.0","",""
"176"," Congo (Democratic Republic of the)","","","","","","74.4","","","","72.5"
"172"," Côte d'Ivoire","50.0","","","","","","","59.3","",""
"168"," Djibouti","","26.9","","","","","","","",""
"101"," Dominican Republic","","","6.2","","","","","","6.0",""
"88"," Ecuador","","10.6","","","","","","","","3.7"
"108"," Egypt","","","","8.9","","","","","","4.2"
"174"," Ethiopia","","","","","","","88.2","","",""
"110"," Gabon","","","","","","","","16.7","",""
"175"," Gambia","","60.8","","","","","","","57.2",""
"76"," Georgia","2.2","","","","","","","","",""
"140"," Ghana","","","","39.2","","","30.5","","",""
"182"," Guinea","86.5","","","","","","","73.8","",""
"178"," Guinea-Bissau","","80.4","","","","","","","",""
"124"," Guyana","","","7.9","","7.8","","","","",""
"163"," Haiti","","59.3","","","","","","50.2","",""
"131"," Honduras","","31.5","","","","","","20.7","",""
"130"," India","","55.3","","","","","","","",""
"110"," Indonesia","","","10.1","","","","","5.9","",""
"121"," Iraq","","18.5","","","","","13.3","","",""
"99"," Jamaica","","","","","","3.7","","","",""
"80"," Jordan","","","","","1.0","","","1.2","",""
"56"," Kazakhstan","","1.8","","","","","1.1","","",""
"145"," Kenya","","","","","48.2","","","","",""
"120"," Kyrgyzstan","","3.4","","","","","","1.8","",""
"141"," Lao People's Democratic Republic","","55.0","","","","","","36.8","",""
"161"," Lesotho","","","","","49.5","","","","",""
"177"," Liberia","","","81.9","","","","","","70.1",""
"94"," Libya","","","1.4","","","","","","",""
"154"," Madagascar","","","","","77.0","","","","",""
"173"," Malawi","","","","","","66.7","","","",""
"104"," Maldives","","","","","2.0","","","","",""
"179"," Mali","","85.6","","","","","","","78.4",""
"156"," Mauritania","","","66.0","","","","55.6","","",""
"74"," Mexico","","6.9","","","","","","6.0","",""
"107"," Moldova (Republic of)","1.3","","","","","","","1.1","",""
"90"," Mongolia","18.3","","","","","11.1","","","",""
"49"," Montenegro","","3.0","","","","","","","0.5",""
"126"," Morocco","","","","","","","15.6","","",""
"180"," Mozambique","","","","","70.0","","70.2","","",""
"126"," Namibia","","","42.1","","","","","","44.9",""
"145"," Nepal","","62.1","","","","","41.4","","",""
"125"," Nicaragua","","","27.9","","","","19.4","","",""
"188"," Niger","","93.4","","","","","","89.8","",""
"152"," Nigeria","","","","53.8","","","43.3","","50.9",""
"147"," Pakistan","","","43.5","","","","","","45.6",""
"113"," Palestine, State of","","","2.0","","","1.9","","","",""
"84"," Peru","","","","16.1","","13.2","12.2","10.4","",""
"115"," Philippines","","","","7.3","","","","","6.3",""
"163"," Rwanda","86.5","","","","","70.8","","","",""
"89"," Saint Lucia","","","","","","","","0.8","",""
"143"," Sao Tome and Principe","","","","","47.5","","","","",""
"170"," Senegal","71.1","","","","","","69.4","","54.8","51.9"
"66"," Serbia","","3.0","","","","0.3","","","","0.4"
"181"," Sierra Leone","","","","79.7","","72.7","","","77.5",""
".."," Somalia","","81.8","","","","","","","",""
"116"," South Africa","","","","9.4","","","","10.3","",""
"169"," South Sudan","","","","","","89.3","","","",""
"167"," Sudan","","","","","","53.1","","","",""
"103"," Suriname","","9.2","","","","7.6","","","",""
"150"," Swaziland","","","","","","25.9","","","",""
"134"," Syrian Arab Republic","","6.4","","","7.2","","","","",""
"129"," Tajikistan","14.7","","","","","","","7.9","",""
"151"," Tanzania (United Republic of)","","","","","","66.4","","","",""
"93"," Thailand","","1.0","","","","","","","",""
"81"," The former Yugoslav Republic of Macedonia","3.0","","","","","","1.7","","",""
"133"," Timor-Leste","","","","","","64.3","","","",""
"162"," Togo","","53.1","","","","50.9","","","","48.5"
"64"," Trinidad and Tobago","","1.7","","","","","","","",""
"96"," Tunisia","","","","","","","","1.5","",""
"163"," Uganda","","74.5","","","","","70.3","","",""
"81"," Ukraine","","","0.6","","","","","0.4","",""
"114"," Uzbekistan","","3.5","","","","","","","",""
"134"," Vanuatu","","","31.2","","","","","","",""
"116"," Viet Nam","","","","","","","6.4","","",""
"160"," Yemen","","37.5","","","","","","","40.0",""
"139"," Zambia","","","62.8","","","","","","","54.4"
"155"," Zimbabwe","","42.4","","","","","41.0","","","28.9"
""